"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","gene_symbol","gene_label"
5.93289785555946,6.12192741792618,1.5442208249426,3.96441190213437,7.35771125724827e-05,0.0201499752881198,"ENSG00000152749","GPR180","GPR180"
8.03416081902968,5.26835281396955,1.41257318820536,3.72961405324623,0.000191773286843858,0.0318299214307193,"ENSG00000085733","CTTN","CTTN"
20.6696527671683,5.03015227451465,0.714232446991704,7.04273839098363,1.88497944274492e-12,2.02748388861644e-08,"ENSG00000169432","SCN9A","SCN9A"
21.3639532242373,3.88147134081265,1.0620499708665,3.65469746931575,0.000257485418888652,0.0364409627048202,"ENSG00000164466","SFXN1","SFXN1"
13.6915813093302,3.79365441871041,0.964857188974601,3.93182997656068,8.4301681662829e-05,0.0201499752881198,"ENSG00000124275","MTRR","MTRR"
327.691687803473,3.47659456075056,0.867699422345767,4.00668073669085,6.15780088649398e-05,0.017900893604089,"ENSG00000204936","CD177","CD177"
28.2446490578386,2.97428461692354,0.832625110110922,3.57217741911159,0.000354025428098845,0.0400831316276966,"ENSG00000160180","TFF3","TFF3"
36.1229152898479,2.60537949309288,0.693119828506511,3.75891640368561,0.000170650839446586,0.0300904988374997,"ENSG00000072954","TMEM38A","TMEM38A"
67.4094310509062,2.57989946563906,0.69650057181906,3.70408807978592,0.00021215253996437,0.0340583988038324,"ENSG00000108679","LGALS3BP","LGALS3BP"
49.7263851941353,2.5176819706643,0.643990422658549,3.90950219456789,9.24865152924058e-05,0.0211656374145769,"ENSG00000196150","ZNF250","ZNF250"
